codigo_ibge, anomes_s, qtd_cestas_alim_entr_fam_indigenas, qtd_cestas_alim_entr_fam_quilombolas, qtd_cestas_alim_entr_fam_extrativistas, qtd_cestas_alim_entr_fam_pescadores, qtd_cestas_alim_entr_fam_atend_emergencial, qtd_cestas_alim_entr_fam_assentados, qtd_cestas_alim_entr_fam_catadores, qtd_cestas_alim_entr_fam_ciganas, qtd_cestas_alim_entr_fam_rural, qtd_total_cestas_alim_entr
         11,   202510,                                   ,                                     ,                                   2363,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     2363.0
         11,   202507,                                888,                                     ,                                    218,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     1106.0
         11,   202506,                               1000,                                     ,                                    273,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     1273.0
         11,   202504,                               2877,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     2877.0
         11,   202503,                                338,                                     ,                                    156,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                      494.0
         11,   202502,                                   ,                                     ,                                       ,                                    ,                                       1969,                                   0,                                  0,                                0,                              0,                     1969.0
         11,   202501,                                174,                                     ,                                    399,                                 110,                                        478,                                    ,                                  0,                                 ,                              0,                     1161.0
         12,   202512,                                   ,                                     ,                                   5741,                                    ,                                       3200,                                    ,                                   ,                                 ,                               ,                     8941.0
         12,   202510,                                   ,                                     ,                                   3600,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     3600.0
         12,   202505,                                   ,                                     ,                                       ,                                    ,                                       2279,                                    ,                                   ,                                 ,                               ,                     2279.0
         12,   202504,                                   ,                                     ,                                       ,                                    ,                                       2279,                                    ,                                   ,                                 ,                               ,                     2279.0
         12,   202502,                                  0,                                    0,                                      0,                                   0,                                          0,                                   0,                                  0,                                0,                              0,                        0.0
         12,   202501,                                   ,                                     ,                                       ,                                    ,                                       4389,                                    ,                                  0,                                 ,                              0,                     4389.0
         13,   202512,                               2818,                                 6154,                                   6696,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                    15668.0
         13,   202511,                               5800,                                     ,                                   2032,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     7832.0
         13,   202510,                              10000,                                     ,                                   1336,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                    11336.0
         13,   202509,                               3909,                                     ,                                    690,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     4599.0
         13,   202507,                               7260,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     7260.0
         13,   202506,                                   ,                                     ,                                       ,                                    ,                                       2500,                                    ,                                   ,                                 ,                               ,                     2500.0
         13,   202505,                               3105,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     3105.0
         13,   202503,                              11612,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                    11612.0
         13,   202502,                               5350,                                     ,                                   7885,                                    ,                                       1063,                                   0,                                  0,                                0,                              0,                    14298.0
         13,   202501,                              13679,                                 3860,                                       ,                                5000,                                       9658,                                    ,                                  0,                                 ,                              0,                    32197.0
         14,   202512,                               5177,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     5177.0
         14,   202511,                               6478,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     6478.0
         14,   202510,                               5815,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     5815.0
         14,   202509,                               4225,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     4225.0
         14,   202508,                               5692,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     5692.0
         14,   202507,                               2410,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     2410.0
         14,   202506,                               8826,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     8826.0
         14,   202505,                               3978,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     3978.0
         14,   202504,                               5336,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     5336.0
         14,   202503,                               8045,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     8045.0
         14,   202502,                               5147,                                     ,                                       ,                                    ,                                           ,                                   0,                                  0,                                0,                              0,                     5147.0
         14,   202501,                               6281,                                     ,                                       ,                                    ,                                           ,                                    ,                                  0,                                 ,                              0,                     6281.0
         15,   202512,                               3182,                                     ,                                   4170,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     7352.0
         15,   202511,                               4382,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     4382.0
         15,   202510,                               3182,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     3182.0
         15,   202508,                               3182,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     3182.0
         15,   202507,                               3182,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     3182.0
         15,   202506,                               3182,                                     ,                                       ,                                    ,                                           ,                                4600,                                   ,                                 ,                               ,                     7782.0
         15,   202505,                               3182,                                     ,                                       ,                                 800,                                           ,                               10800,                                   ,                                 ,                               ,                    14782.0
         15,   202504,                                   ,                                     ,                                    228,                                    ,                                           ,                                4600,                                   ,                                 ,                               ,                     4828.0
         15,   202503,                                554,                                     ,                                   2000,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     2554.0
         15,   202502,                                   ,                                     ,                                   1220,                                    ,                                           ,                                   0,                                  0,                                0,                              0,                     1220.0
         15,   202501,                                   ,                                     ,                                   1500,                                    ,                                           ,                                    ,                                  0,                                 ,                              0,                     1500.0
         16,   202511,                                   ,                                     ,                                       ,                                    ,                                       7340,                                    ,                                   ,                                 ,                               ,                     7340.0
         16,   202502,                                   ,                                     ,                                       ,                                    ,                                       2000,                                   0,                                  0,                                0,                              0,                     2000.0
         16,   202501,                                   ,                                     ,                                       ,                                    ,                                       4500,                                    ,                                  0,                                 ,                              0,                     4500.0
         17,   202504,                               1222,                                     ,                                       ,                                4611,                                           ,                                    ,                                   ,                                 ,                               ,                     5833.0
         17,   202503,                               1224,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     1224.0
         17,   202502,                               1224,                                     ,                                       ,                                    ,                                           ,                                   0,                                  0,                                0,                              0,                     1224.0
         17,   202501,                                  0,                                    0,                                      0,                                   0,                                          0,                                   0,                                  0,                                0,                              0,                        0.0
         21,   202508,                                528,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                      528.0
         21,   202507,                                528,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                      528.0
         21,   202503,                                352,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                      352.0
         21,   202502,                                554,                                     ,                                       ,                                    ,                                           ,                                   0,                                  0,                                0,                              0,                      554.0
         21,   202501,                                  0,                                    0,                                      0,                                   0,                                          0,                                   0,                                  0,                                0,                              0,                        0.0
         22,   202512,                                   ,                                     ,                                       ,                                    ,                                      35362,                                    ,                                   ,                                 ,                               ,                    35362.0
         22,   202511,                                   ,                                     ,                                       ,                                    ,                                      10692,                                    ,                                   ,                                 ,                               ,                    10692.0
         22,   202507,                                720,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                      720.0
         22,   202506,                                655,                                 1001,                                       ,                                    ,                                       9609,                                    ,                                   ,                                 ,                               ,                    11265.0
         22,   202505,                                   ,                                     ,                                       ,                                    ,                                      13206,                                    ,                                   ,                                 ,                               ,                    13206.0
